feature_family,validation_mae,test_mae,training_time_seconds
Complete feature set,0.013885612340042285,0.014260757453019362,18.20561695098877
RDKit physicochemical descriptors,0.014131979856778203,0.014442494214182474,4.084126182016917
Morgan fingerprints,0.017712475524915335,0.01799208138031864,7.089957976015285
Size/count descriptors,0.02105952456923602,0.021430359675080682,5.144328785012476
Simple 3D geometry,0.0320238767647396,0.032739759310531164,2.67638065997744
