split,size_feature,bin,bin_midpoint,model,samples,mae,mae_ci_low,mae_ci_high
scaffold,n_atoms,"(6.999, 16.0]",11.4995,Ensemble,2532,0.012804004257864831,0.012309060624299737,0.013342152023959546
scaffold,n_atoms,"(16.0, 18.0]",17.0,LightGBM,2852,0.01393693715823894,0.01330512643075254,0.014589065714796639
scaffold,n_atoms,"(16.0, 18.0]",17.0,SchNet,2852,0.012249369221598878,0.01182047683502805,0.01266754246248247
scaffold,n_atoms,"(16.0, 18.0]",17.0,Ensemble,2852,0.01195754205462592,0.01142782953816366,0.012509900517203326
scaffold,n_atoms,"(18.0, 19.0]",18.5,LightGBM,1344,0.013494306674853577,0.012612774251706003,0.014511846263741855
scaffold,n_atoms,"(18.0, 19.0]",18.5,SchNet,1344,0.012368896979166665,0.01179969394828869,0.012914202219308033
scaffold,n_atoms,"(18.0, 19.0]",18.5,Ensemble,1344,0.011948083035951771,0.011206306062115584,0.01265555095933797
scaffold,n_atoms,"(19.0, 25.0]",22.0,LightGBM,1843,0.047931653946792004,0.011056674425825,0.10305223180280633
scaffold,n_atoms,"(19.0, 25.0]",22.0,SchNet,1843,0.04732539558328812,0.010642771497693979,0.1024454638091427
scaffold,n_atoms,"(19.0, 25.0]",22.0,Ensemble,1843,0.046721588784663017,0.009988024146684264,0.1019752302323198
scaffold,n_heavy_atoms,"(2.999, 9.0]",5.9995,LightGBM,8571,0.021820784058578534,0.013810227864257656,0.03567282180094962
scaffold,n_heavy_atoms,"(2.999, 9.0]",5.9995,SchNet,8571,0.019954336153891025,0.011964860171683583,0.03197882548461382
scaffold,n_heavy_atoms,"(2.999, 9.0]",5.9995,Ensemble,8571,0.019681339452941315,0.011688139792632316,0.03150134708537747
scaffold,n_bonds,"(6.999, 18.0]",12.4995,LightGBM,3219,0.014565884520185257,0.014005537041077654,0.015114230475822589
scaffold,n_bonds,"(6.999, 18.0]",12.4995,SchNet,3219,0.01205832215750233,0.011652379299277727,0.012430577491573471
scaffold,n_bonds,"(6.999, 18.0]",12.4995,Ensemble,3219,0.0117540997666403,0.011298241072676332,0.012198289239578669
scaffold,n_bonds,"(18.0, 19.0]",18.5,LightGBM,1277,0.012229371585155961,0.011524727438086354,0.01301943668164395
scaffold,n_bonds,"(18.0, 19.0]",18.5,SchNet,1277,0.01135425696945967,0.010809473638214565,0.01201377048238058
scaffold,n_bonds,"(18.0, 19.0]",18.5,Ensemble,1277,0.010594349833764876,0.009991094545094836,0.01128700519242933
scaffold,n_bonds,"(19.0, 21.0]",20.0,LightGBM,2341,0.014224329951344039,0.013381128534280444,0.015055453891891916
