split,signed_residual_spearman,absolute_error_spearman,lightgbm_lower_error_proportion,schnet_lower_error_proportion,tie_proportion
random,0.4955140310867149,0.24377947608375136,0.5330766538326916,0.46692334616730835,0.0008167075020417688
scaffold,0.5725122734350655,0.27858214584324203,0.48384085870960214,0.5161591412903979,0.0011667250029168126
