split,model,samples,mean_residual,mae,rmse,median_absolute_error,absolute_error_p90
random,LightGBM,8571,-0.003164088291469921,0.014260757381401994,0.3672942341319482,0.00722801967410569,0.022923214420962512
random,SchNet,8571,-0.0027569434046202305,0.014571942562244778,0.36691092447177587,0.008367260000000043,0.022013329999999998
random,Ensemble,8571,-0.0029768016435190786,0.013131476721298628,0.36704885693529427,0.006897920578349426,0.019323024897290292
scaffold,LightGBM,8571,-0.005459875853640785,0.021820784058578534,0.5152996236288312,0.009394444152557135,0.02860183204052011
scaffold,SchNet,8571,-0.009449788390502858,0.019954336153891025,0.5147546030114992,0.009518539999999992,0.02435323999999997
scaffold,Ensemble,8571,-0.007295235620597354,0.019681339452941315,0.5149851385503482,0.008597304787204219,0.023824853673631796
