split,model,validation_mae,test_mae,test_rmse,test_r2,training_time_seconds,trainable_parameters,absolute_test_mae_difference_vs_lightgbm,relative_test_mae_difference_vs_lightgbm_pct
random,SchNet,0.0142431072890758,0.0145719433203339,0.3669109317463624,0.0198245644569396,356.44598637497984,13793.0,0.00031118593893200014,2.182113688700937
random,Morgan + RDKit 2D + simple 3D + LightGBM,0.0138856122499815,0.0142607573814019,0.3672942341319482,0.0177754290731747,106.24536983703727,,0.0,0.0
scaffold,SchNet,0.0131479585543274,0.0199543349444866,0.5147545721361441,0.0125274658203125,331.61379897000734,13793.0,-0.0018664491140918983,-8.55353826462589
scaffold,Morgan + RDKit 2D + simple 3D + LightGBM,0.0145832393821757,0.0218207840585785,0.5152996236288312,0.0104351362177865,66.51836708496558,,0.0,0.0
random,Ensemble (w=0.46),0.012793037359858307,0.01313147672129863,0.36704885693529427,0.019087374549259684,,,-0.0011292806601032705,-7.918798629699826
scaffold,Ensemble (w=0.46),0.012724219682471146,0.01968133920488427,0.5149851455571561,0.011642621623359939,,,-0.0021394448536942307,-9.80461952215297
