split,model,validation_mae,test_mae,test_rmse,test_r2,training_time_seconds,trainable_parameters
random,SchNet,0.014243107289075851,0.014571943320333958,0.3669109317463624,0.019824564456939697,356.44598637497984,13793.0
random,Morgan + RDKit 2D + simple 3D + LightGBM,0.0138856122499815,0.0142607573814019,0.3672942341319482,0.0177754290731747,106.24536983703727,
scaffold,SchNet,0.013147958554327488,0.019954334944486618,0.5147545721361441,0.0125274658203125,331.61379897000734,13793.0
scaffold,Morgan + RDKit 2D + simple 3D + LightGBM,0.0145832393821757,0.0218207840585785,0.5152996236288312,0.0104351362177865,66.51836708496558,
